Reactants,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,mapped_reactants
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([O][H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[CoA:23][S:24][C:25]([C:26]([O:27][H:28])([C:29]([H:30])([C:31](=[O:32])[S:33][CoA:34])[C:35](=[O:36])[O:37][H:38])[C:39](=[O:40])[S:41][CoA:42])=[O:43]
O.[CoA][S][C]([C]([H])([C](=[O])[H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([H:6])([C:7](=[O:8])[H:9])[C:10](=[O:11])[S:12][CoA:13])=[O:14]
O.[O]([C]([C]([O][H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([O:5][H:6])([C:7]([H:8])([C:9](=[O:10])[S:11][CoA:12])[C:13](=[O:14])[S:15][CoA:16])[C:17](=[O:18])[O:19][H:20])=[O:21])[H:22]
C(C(C(O)=O)(C(O)=O)C(C(O)=O)C(O)=O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([C:2]([C:3]([OH:4])=[O:5])([C:6]([OH:7])=[O:8])[CH:9]([C:10]([OH:11])=[O:12])[C:13]([OH:14])=[O:15])([OH:16])=[O:17].[Ad:18][O:19][P:20](=[O:21])([O:22][H:23])[O:24][P:25](=[O:26])([O:27][H:28])[O:29][P:30](=[O:31])([O:32][H:33])[O:34][H:35].[CoA:36][S:37][H:38]
C(C(C(O)=O)C(CCCN)N)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[CH:6]([CH2:7][CH2:8][CH2:9][NH2:10])[NH2:11])([OH:12])=[O:13].[Ad:14][O:15][P:16](=[O:17])([O:18][H:19])[O:20][P:21](=[O:22])([O:23][H:24])[O:25][P:26](=[O:27])([O:28][H:29])[O:30][H:31].[CoA:32][S:33][H:34]
C(CCC(C(O)=O)=O)(O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH2:2][CH2:3][C:4]([C:5]([OH:6])=[O:7])=[O:8])([OH:9])=[O:10]
O.[O]([C]([C]([C](=[O])[O][H])=[C]([H])[C](=[O])[S][CoA])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:8])=[C:9]([H:10])[C:11](=[O:12])[S:13][CoA:14])=[O:15])[H:16]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[C]([C]([C]([N]([H])[H])([C](=[O])[O][H])[H])([H])[C](=[O])[S][CoA])(=[O])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[C:19]([C:20]([C:21]([N:22]([H:23])[H:24])([C:25](=[O:26])[O:27][H:28])[H:29])([H:30])[C:31](=[O:32])[S:33][CoA:34])(=[O:35])[O:36][H:37].[CoA:38][S:39][H:40]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[C]([C]([C]([C]([C](=[O])[O][H])([N]([H])[H])[H])([H])[H])([H])[C](=[O])[S][CoA])(=[O])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[C:19]([C:20]([C:21]([C:22]([C:23](=[O:24])[O:25][H:26])([N:27]([H:28])[H:29])[H:30])([H:31])[H:32])([H:33])[C:34](=[O:35])[S:36][CoA:37])(=[O:38])[O:39][H:40].[CoA:41][S:42][H:43]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[C]([C]([C]([N]([H])[H])([C](=[O])[O][H])[H])([H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[C:23]([C:24]([C:25]([N:26]([H:27])[H:28])([C:29](=[O:30])[O:31][H:32])[H:33])([H:34])[C:35](=[O:36])[S:37][CoA:38])(=[O:39])[O:40][H:41]
C(C(C(O)=O)(C(O)=O)CC=O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([C:2]([C:3]([OH:4])=[O:5])([C:6]([OH:7])=[O:8])[CH2:9][CH:10]=[O:11])([OH:12])=[O:13].[Ad:14][O:15][P:16](=[O:17])([O:18][H:19])[O:20][P:21](=[O:22])([O:23][H:24])[O:25][P:26](=[O:27])([O:28][H:29])[O:30][H:31].[CoA:32][S:33][H:34]
C(CCC(C(O)=O)=O)(O)=O.[C]([C]([C]([N]([H])[H])([C](=[O])[O][H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH2:2][CH2:3][C:4]([C:5]([OH:6])=[O:7])=[O:8])([OH:9])=[O:10].[C:11]([C:12]([C:13]([N:14]([H:15])[H:16])([C:17](=[O:18])[O:19][H:20])[H:21])([C:22](=[O:23])[O:24][H:25])[C:26](=[O:27])[S:28][CoA:29])(=[O:30])[O:31][H:32]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([N]([H])[H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])[H])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[CoA:23][S:24][C:25]([C:26]([N:27]([H:28])[H:29])([C:30]([H:31])([C:32](=[O:33])[S:34][CoA:35])[C:36](=[O:37])[S:38][CoA:39])[H:40])=[O:41]
O.[CoA][S][C]([C]([O][H])([C]([H])([H])[H])[C](=[O])[O][H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([O:6][H:7])([C:8]([H:9])([H:10])[H:11])[C:12](=[O:13])[O:14][H:15])=[O:16]
O.[CoA][S][C]([C]([C]([N]([H])[H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])([C](=[O])[S][CoA])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6]([N:7]([H:8])[H:9])([C:10](=[O:11])[S:12][CoA:13])[C:14](=[O:15])[S:16][CoA:17])([C:18](=[O:19])[S:20][CoA:21])[C:22](=[O:23])[S:24][CoA:25])=[O:26]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][H].[O]([C]([C]([C]([O][H])([H])[C](=[O])[S][CoA])([H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][H:21].[O:22]([C:23]([C:24]([C:25]([O:26][H:27])([H:28])[C:29](=[O:30])[S:31][CoA:32])([H:33])[C:34](=[O:35])[O:36][H:37])=[O:38])[H:39]
C(C(C(O)=O)C(C(O)=O)N)(O)=O.C(CCC(C(O)=O)=O)(O)=O,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[CH:6]([C:7]([OH:8])=[O:9])[NH2:10])([OH:11])=[O:12].[C:13]([CH2:14][CH2:15][C:16]([C:17]([OH:18])=[O:19])=[O:20])([OH:21])=[O:22]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([C](=[O])[O][H])([H])[H])([H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[CoA:23][S:24][C:25]([C:26]([C:27]([C:28](=[O:29])[O:30][H:31])([H:32])[H:33])([H:34])[C:35](=[O:36])[S:37][CoA:38])=[O:39]
[C]([C]([C]([C](=[O])[C](=[O])[O][H])([H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([C:2]([C:3]([C:4](=[O:5])[C:6](=[O:7])[O:8][H:9])([H:10])[H:11])([C:12](=[O:13])[O:14][H:15])[C:16](=[O:17])[S:18][CoA:19])(=[O:20])[O:21][H:22]
C(C(C(O)=O)C(C(O)=O)(C(O)=O)N)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[C:6]([C:7]([OH:8])=[O:9])([C:10]([OH:11])=[O:12])[NH2:13])([OH:14])=[O:15].[Ad:16][O:17][P:18](=[O:19])([O:20][H:21])[O:22][P:23](=[O:24])([O:25][H:26])[O:27][P:28](=[O:29])([O:30][H:31])[O:32][H:33].[CoA:34][S:35][H:36]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([H])([H])[C](=[O])[O][H])=[O].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][C:21]([C:22]([H:23])([H:24])[C:25](=[O:26])[O:27][H:28])=[O:29].[CoA:30][S:31][H:32]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[C]([C]([C]([C]([C](=[O])[O][H])([N]([H])[H])[H])([H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])(=[O])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[C:19]([C:20]([C:21]([C:22]([C:23](=[O:24])[O:25][H:26])([N:27]([H:28])[H:29])[H:30])([H:31])[H:32])([C:33](=[O:34])[O:35][H:36])[C:37](=[O:38])[S:39][CoA:40])(=[O:41])[O:42][H:43].[CoA:44][S:45][H:46]
[CoA][S][C]([C]([O][H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[CoA:1][S:2][C:3]([C:4]([O:5][H:6])([C:7]([H:8])([C:9](=[O:10])[S:11][CoA:12])[C:13](=[O:14])[O:15][H:16])[C:17](=[O:18])[S:19][CoA:20])=[O:21]
[CoA][S][C]([C]([C](=[O])[S][CoA])([C](=[O])[S][CoA])[C](=[O])[C](=[O])[O][H])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[CoA:1][S:2][C:3]([C:4]([C:5](=[O:6])[S:7][CoA:8])([C:9](=[O:10])[S:11][CoA:12])[C:13](=[O:14])[C:15](=[O:16])[O:17][H:18])=[O:19]
O.[C]([C]([C]([C]([C](=[O])[O][H])([N]([H])[H])[H])([H])[H])([H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:9])([N:10]([H:11])[H:12])[H:13])([H:14])[H:15])([H:16])[C:17](=[O:18])[S:19][CoA:20])(=[O:21])[O:22][H:23]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([N]([H])[H])([C]([C](=[O])[O][H])([H])[H])[H])=[O].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][C:21]([C:22]([N:23]([H:24])[H:25])([C:26]([C:27](=[O:28])[O:29][H:30])([H:31])[H:32])[H:33])=[O:34].[CoA:35][S:36][H:37]
C(C(C(O)=O)C(C(O)=O)N)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[CH:6]([C:7]([OH:8])=[O:9])[NH2:10])([OH:11])=[O:12].[Ad:13][O:14][P:15](=[O:16])([O:17][H:18])[O:19][P:20](=[O:21])([O:22][H:23])[O:24][P:25](=[O:26])([O:27][H:28])[O:29][H:30].[CoA:31][S:32][H:33]
O.[CoA][S][C]([C]([C]([H])([C](=[O])[S][CoA])[C](=[O])[O][H])=[O])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6]([H:7])([C:8](=[O:9])[S:10][CoA:11])[C:12](=[O:13])[O:14][H:15])=[O:16])=[O:17]
O.[CoA][S][C]([C]([C](=[O])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6](=[O:7])[H:8])([C:9](=[O:10])[O:11][H:12])[C:13](=[O:14])[S:15][CoA:16])=[O:17]
O.[CoA][S][C](=[O])[C]([H])([H])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4](=[O:5])[C:6]([H:7])([H:8])[H:9]
O.[CoA][S][C]([C]([N]([H])[H])([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])[H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([N:6]([H:7])[H:8])([C:9]([C:10](=[O:11])[O:12][H:13])([C:14](=[O:15])[S:16][CoA:17])[C:18](=[O:19])[O:20][H:21])[H:22])=[O:23]
O.[O]([C]([C]([C]([N]([H])[H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])([C](=[O])[O][H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([C:5]([N:6]([H:7])[H:8])([C:9](=[O:10])[S:11][CoA:12])[C:13](=[O:14])[S:15][CoA:16])([C:17](=[O:18])[O:19][H:20])[C:21](=[O:22])[O:23][H:24])=[O:25])[H:26]
[C]([C]([C]([C](=[O])[C](=[O])[O][H])([H])[H])([H])[C](=[O])[S][CoA])(=[O])[O][H].[CoA][S][C]([C]([C]([N]([H])[H])([C](=[O])[O][H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([C:2]([C:3]([C:4](=[O:5])[C:6](=[O:7])[O:8][H:9])([H:10])[H:11])([H:12])[C:13](=[O:14])[S:15][CoA:16])(=[O:17])[O:18][H:19].[CoA:20][S:21][C:22]([C:23]([C:24]([N:25]([H:26])[H:27])([C:28](=[O:29])[O:30][H:31])[H:32])([C:33](=[O:34])[O:35][H:36])[C:37](=[O:38])[S:39][CoA:40])=[O:41]
O.[O]([C]([C]([C]([C](=[O])[S][CoA])([C](=[O])[S][CoA])[C](=[O])[S][CoA])([H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[S:8][CoA:9])([C:10](=[O:11])[S:12][CoA:13])[C:14](=[O:15])[S:16][CoA:17])([H:18])[C:19](=[O:20])[O:21][H:22])=[O:23])[H:24]
O.[CoA][S][C]([C]([C]([C]([C](=[O])[O][H])([N]([H])[H])[H])([H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6]([C:7]([C:8](=[O:9])[O:10][H:11])([N:12]([H:13])[H:14])[H:15])([H:16])[H:17])([C:18](=[O:19])[O:20][H:21])[C:22](=[O:23])[S:24][CoA:25])=[O:26]
O.[C]([C]([C]([C]([H])([C](=[O])[S][CoA])[C](=[O])[O][H])([H])[H])([N]([H])[H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[C:2]([C:3]([C:4]([C:5]([H:6])([C:7](=[O:8])[S:9][CoA:10])[C:11](=[O:12])[O:13][H:14])([H:15])[H:16])([N:17]([H:18])[H:19])[C:20](=[O:21])[S:22][CoA:23])(=[O:24])[O:25][H:26]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[O]([C]([C]([C]([O][H])([H])[C](=[O])[S][CoA])([H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[O:23]([C:24]([C:25]([C:26]([O:27][H:28])([H:29])[C:30](=[O:31])[S:32][CoA:33])([H:34])[C:35](=[O:36])[O:37][H:38])=[O:39])[H:40]
C(C(C(O)=O)C(O)=O)=O.[CoA][S][H].[NAD+],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[CH:1]([CH:2]([C:3]([OH:4])=[O:5])[C:6]([OH:7])=[O:8])=[O:9].[CoA:10][S:11][H:12].[NAD+:13]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([H])=[C]([H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[CoA:23][S:24][C:25]([C:26]([H:27])=[C:28]([H:29])[C:30](=[O:31])[S:32][CoA:33])=[O:34]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])([H])[H])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[CoA:23][S:24][C:25]([C:26]([C:27]([C:28](=[O:29])[O:30][H:31])([C:32](=[O:33])[S:34][CoA:35])[C:36](=[O:37])[S:38][CoA:39])([H:40])[H:41])=[O:42]
O.[CoA][S][C]([C]([C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[N]([H])[H])[N]([H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6]([H:7])([C:8]([H:9])([H:10])[C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[N:17]([H:18])[H:19])[N:20]([H:21])[H:22])([C:23](=[O:24])[O:25][H:26])[C:27](=[O:28])[S:29][CoA:30])=[O:31]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([H])([H])[C](=[O])[C](=[O])[O][H])=[O].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][C:21]([C:22]([H:23])([H:24])[C:25](=[O:26])[C:27](=[O:28])[O:29][H:30])=[O:31].[CoA:32][S:33][H:34]
C(C(C(O)=O)(CC(O)=O)N)(O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([C:2]([C:3]([OH:4])=[O:5])([CH2:6][C:7]([OH:8])=[O:9])[NH2:10])([OH:11])=[O:12]
O.[CoA][S][C]([C]([C]([H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])([C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6]([H:7])([C:8](=[O:9])[S:10][CoA:11])[C:12](=[O:13])[S:14][CoA:15])([C:16](=[O:17])[O:18][H:19])[C:20](=[O:21])[S:22][CoA:23])=[O:24]
