Reactants,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,mapped_reactants
O.[CoA][S][C]([C]([O][H])([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])[H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([O:6][H:7])([C:8]([C:9](=[O:10])[O:11][H:12])([C:13](=[O:14])[S:15][CoA:16])[C:17](=[O:18])[O:19][H:20])[H:21])=[O:22]
O.[O]([C]([C]([N]([H])[H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[O][H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([N:5]([H:6])[H:7])([C:8]([H:9])([C:10](=[O:11])[S:12][CoA:13])[C:14](=[O:15])[O:16][H:17])[C:18](=[O:19])[O:20][H:21])=[O:22])[H:23]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])([H])[H])=[O].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][C:21]([C:22]([C:23]([C:24](=[O:25])[O:26][H:27])([C:28](=[O:29])[S:30][CoA:31])[C:32](=[O:33])[O:34][H:35])([H:36])[H:37])=[O:38].[CoA:39][S:40][H:41]
C(C(C(O)=O)C(C(O)=O)N)(O)=O.C(C(C(O)=O)CC(C(O)=O)=O)(O)=O,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[CH:6]([C:7]([OH:8])=[O:9])[NH2:10])([OH:11])=[O:12].[C:13]([CH:14]([C:15]([OH:16])=[O:17])[CH2:18][C:19]([C:20]([OH:21])=[O:22])=[O:23])([OH:24])=[O:25]
O.[C]([C]([C]([C](=[O])[O][H])([H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:8])([H:9])[H:10])([C:11](=[O:12])[O:13][H:14])[C:15](=[O:16])[S:17][CoA:18])(=[O:19])[O:20][H:21]
O.[O]([C]([C]([O][H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[O][H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([O:5][H:6])([C:7]([H:8])([C:9](=[O:10])[S:11][CoA:12])[C:13](=[O:14])[O:15][H:16])[C:17](=[O:18])[O:19][H:20])=[O:21])[H:22]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[C]([C]([O][H])([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])[C](=[O])[S][CoA])(=[O])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[C:19]([C:20]([O:21][H:22])([C:23]([C:24](=[O:25])[O:26][H:27])([C:28](=[O:29])[S:30][CoA:31])[C:32](=[O:33])[O:34][H:35])[C:36](=[O:37])[S:38][CoA:39])(=[O:40])[O:41][H:42].[CoA:43][S:44][H:45]
O.[C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])([H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:8])([C:9](=[O:10])[S:11][CoA:12])[C:13](=[O:14])[O:15][H:16])([H:17])[C:18](=[O:19])[S:20][CoA:21])(=[O:22])[O:23][H:24]
O.[CoA][S][C]([C]([C](=[O])[S][CoA])=[C]([C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6](=[O:7])[S:8][CoA:9])=[C:10]([C:11](=[O:12])[O:13][H:14])[C:15](=[O:16])[S:17][CoA:18])=[O:19]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([O][H])([C](=[O])[O][H])[H])([H])[H])=[O].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][C:21]([C:22]([C:23]([O:24][H:25])([C:26](=[O:27])[O:28][H:29])[H:30])([H:31])[H:32])=[O:33].[CoA:34][S:35][H:36]
O.[C]([C]([C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[N]([H])[H])[N]([H])[H])([C](=[O])[O][H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[C:2]([C:3]([C:4]([H:5])([C:6]([H:7])([H:8])[C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[N:15]([H:16])[H:17])[N:18]([H:19])[H:20])([C:21](=[O:22])[O:23][H:24])[C:25](=[O:26])[S:27][CoA:28])(=[O:29])[O:30][H:31]
O.[CoA][S][C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])([C](=[O])[O][H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6]([C:7](=[O:8])[O:9][H:10])([C:11](=[O:12])[S:13][CoA:14])[C:15](=[O:16])[O:17][H:18])([C:19](=[O:20])[O:21][H:22])[C:23](=[O:24])[S:25][CoA:26])=[O:27]
