Reactants,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19
O.[Ce][S][C]([C]([C](=[O])[S][Ce])=[C]([C](=[O])[O][H])[C](=[O])[S][Ce])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][C]([C]([C]([O][H])([C](=[O])[O][H])[H])([H])[H])=[O].[Ce][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[C]([C]([C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[N]([H])[H])[N]([H])[H])([C](=[O])[O][H])[C](=[O])[S][Ce])(=[O])[O][H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[Ce][S][C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][Ce])[C](=[O])[O][H])([C](=[O])[O][H])[C](=[O])[S][Ce])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[Ce][S][C]([C]([H])([C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[N]([H])[H])[N]([H])[H])[H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C(C(O)=O)CC(C(O)=O)N)(O)=O.[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(O)(O)=O.[La][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[Ce][S][C]([C]([C]([C]([N]([H])[H])([C](=[O])[S][Ce])[C](=[O])[S][Ce])([H])[H])([H])[C](=[O])[S][Ce])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[Ce][S][C]([C](=[O])[C]([C]([C](=[O])[O][H])([H])[H])([H])[H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C(C(O)=O)CC(C(O)=O)N)(O)=O.O.[Pr+],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(=O)=O.[La][S+]([C]([H])([H])[H])[C]([C]([C]([N]([H])[H])([H])[H])([H])[H])([H])[H],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.[Ce][S][C]([C](=[C]([H])[H])[C](=[O])[S][Ce])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
